,recipe_title,총합_에너지(kcal),총합_수분(g),총합_단백질(g),총합_지방(g),총합_회분(g),총합_탄수화물(g),총합_당류(g),총합_식이섬유(g),총합_칼슘(mg),총합_철(mg),총합_인(mg),총합_칼륨(mg),총합_나트륨(mg),총합_비타민a(μg rae),총합_레티놀(μg),총합_베타카로틴(μg),총합_티아민(mg),총합_리보플라빈(mg),총합_니아신(mg),총합_비타민c(mg),총합_비타민d(μg),총합_콜레스테롤(mg),총합_포화지방산(g),총합_트랜스지방산(g),총합_폐기율(%)
0,호박 새우젓찌개 만드는 방법~★,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,바글바글 전복 된장찌개,100.3,87.53,4.38,1.124,3.01,18.959,0.061,2.62,22.1,0.978,81.2,421.95,773.8,1.15,0.0,9.05,0.186,0.08,0.212,0.0,0.0,0.0,0.172,0.003,0.0
2,순두부찌개....오도독 씹히는 미더덕이 들어간 순두부찌개!!,446.1,103.065,22.097,22.645,3.086,39.098,3.723,6.585,142.4,6.669,577.3,561.95,169.8,394.0,295.0,1187.55,0.442,1.118,1.864,1.32,0.0,0.0,0.25,0.008,8.4
3,정통 바지락 순두부 찌개,563.85,149.91,30.27,29.88,3.173,41.737,1.05,0.0,127.15,5.928,531.95,234.3,138.8,295.05,295.0,0.55,0.405,0.768,0.64,1.9,0.0,0.0,0.742,0.014,6.0
4,크림토마토 비프 스튜,529.9,13.58,6.2,38.527,2.138,49.555,0.211,0.3,160.9,2.56,222.0,471.0,34.9,0.0,0.0,0.0,0.061,0.104,0.538,0.16,0.0,0.0,11.315,0.0,0.0
5,감자찌개,79.0,78.8,2.34,0.09,0.9,17.87,0.0,1.9,5.0,0.49,50.0,351.0,1.0,1.0,0.0,8.0,0.12,0.052,0.11,0.0,0.0,0.0,0.02,0.0,0.0
6,연어 김치찌개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,백종원 순두부찌개 따라하기,384.0,382.08,10.944,12.192,3.552,71.232,10.08,0.0,28.8,2.304,268.8,1598.4,0.0,0.0,0.0,0.0,0.624,0.048,1.344,18.24,0.0,0.0,0.096,0.0,57.6
8,두부찌개 간단하고 정성담아 끓였어요~ 따뜻한 저녁 식사,280.8,7.32,4.283,22.44,2.622,18.338,5.249,11.33,34.25,1.85,128.45,806.35,407.05,184.4,0.0,2211.1,0.136,0.667,2.572,0.0,0.0,0.0,3.374,0.073,0.0
9,제육볶음 맛있게 만드는 법,72.3,32.025,2.682,0.016,9.484,15.807,14.058,0.18,24.75,0.4,54.6,309.75,3602.25,0.0,0.0,0.0,0.063,0.049,0.392,0.0,0.0,0.0,0.0,0.0,0.0
10,돼지고기 두루치기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,매콤한 낙지볶음,47.85,1.875,1.993,1.26,0.779,9.093,2.617,5.655,11.85,0.733,51.3,381.15,1.95,92.1,0.0,1104.45,0.064,0.324,1.264,0.0,0.0,0.0,0.222,0.008,0.0
12,닭가슴살 버섯불고기,132.3,291.87,12.154,3.024,11.955,26.042,2.411,4.48,30.55,2.197,275.45,1257.65,3609.55,0.0,0.0,0.0,0.313,0.466,2.332,3.8,1.43,0.0,0.07,0.0,12.0
